                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                 1.3723,                0.98059,                 1.0494,                0.30424,                   0.15,                0.13595,                0.05732,                 2.6456,                 3.6281,                 1.9076,              0.0015053,              0.0015053,              0.0015053
                    100,                 1.3684,                0.93905,                   1.04,                0.19616,                0.23333,                0.12575,                0.06959,                 2.4588,                 3.7588,                 1.7848,              0.0015036,              0.0015036,              0.0015036
                    101,                 1.3171,                0.92863,                 1.0543,                0.46018,                0.11667,                0.15246,                0.07514,                 2.4092,                 3.4173,                  1.998,               0.001502,               0.001502,               0.001502
                    102,                  1.398,                0.98287,                 1.0678,                0.28007,                0.11667,                0.09272,                0.04318,                 2.3989,                 3.4661,                 1.9316,              0.0015003,              0.0015003,              0.0015003
                    103,                 1.3941,                  1.023,                  1.055,                0.18754,                    0.2,                0.12682,                0.06797,                 2.5425,                 3.4798,                 2.0201,              0.0014987,              0.0014987,              0.0014987
                    104,                 1.4053,                0.99678,                 1.0633,                0.15701,                   0.15,                0.08374,                0.03687,                 2.4836,                 3.9184,                 1.8054,               0.001497,               0.001497,               0.001497
                    105,                  1.368,                0.93287,                 1.0453,                0.18774,                   0.25,                 0.1539,                0.08015,                 2.6427,                 3.3347,                 2.3121,              0.0014954,              0.0014954,              0.0014954
                    106,                 1.4154,                0.95919,                 1.0683,                0.31536,                   0.15,                0.14169,                 0.0545,                 2.7233,                 3.5697,                 2.3148,              0.0014937,              0.0014937,              0.0014937
                    107,                 1.4607,                 1.0427,                 1.0598,                0.21122,                0.11667,                 0.1079,                0.04982,                 2.6859,                 3.7306,                 2.1971,              0.0014921,              0.0014921,              0.0014921
                    108,                 1.3774,                0.93461,                 1.0528,                0.35985,                0.13333,                0.07228,                0.02954,                 2.8057,                 3.8404,                 2.2356,              0.0014904,              0.0014904,              0.0014904
                    109,                 1.3859,                0.93679,                 1.0494,                 0.0872,                0.11667,                 0.0645,                0.02757,                 2.6571,                  3.949,                 2.1274,              0.0014888,              0.0014888,              0.0014888
                    110,                 1.3381,                0.91517,                 1.0528,                0.27428,                    0.1,                  0.095,                0.04557,                 2.7344,                 4.3468,                 2.1955,              0.0014871,              0.0014871,              0.0014871
                    111,                 1.3072,                0.91899,                 1.0315,                0.14755,                0.18333,                 0.1007,                0.02501,                 2.9996,                 4.3112,                 2.3713,              0.0014855,              0.0014855,              0.0014855
                    112,                 1.3174,                0.89623,                 1.0151,                0.15974,                0.11667,                0.08195,                0.03856,                 2.7085,                 4.5167,                 1.9785,              0.0014838,              0.0014838,              0.0014838
                    113,                 1.3358,                0.94183,                 1.0382,                0.31777,                0.06667,                0.05977,                0.02698,                 2.8051,                 4.1797,                 2.2254,              0.0014822,              0.0014822,              0.0014822
                    114,                  1.347,                0.92699,                 1.0417,                0.08853,                    0.1,                0.03024,                  0.012,                 2.9564,                 4.5769,                 2.3368,              0.0014805,              0.0014805,              0.0014805
                    115,                 1.3428,                0.92926,                 1.0408,                0.09355,                    0.1,                0.06236,                0.02374,                 2.7652,                 4.2985,                  2.186,              0.0014789,              0.0014789,              0.0014789
